album_id,album_title,link
1,Sgt. Pepper's Lonely Hearts Club Band,https://www.youtube.com/watch?v=uPTWin_QJCI
2,Pet Sounds,https://www.youtube.com/watch?v=Mh_yhTyae08
3,Revolver,https://www.youtube.com/watch?v=b6z6YuyIcew
4,Highway 61 Revisited,https://www.youtube.com/watch?v=8PP2MjP84Gw
5,Rubber Soul,https://www.youtube.com/watch?v=5GShV3iBEPk
6,What's Going On,https://www.youtube.com/watch?v=Mmve4q1Hy9Y
7,Exile on Main St.,https://www.youtube.com/watch?v=jqNQifwfufM
8,London Calling,https://www.youtube.com/watch?v=9Iw29qL-Kbo
9,Blonde on Blonde,https://www.youtube.com/watch?v=gMLoKxSzkz0
10,"The Beatles (""The White Album"")",https://www.youtube.com/watch?v=RbeDScaUbDc
11,The Sun Sessions,https://www.youtube.com/watch?v=TL0DzHsjaBY
12,Kind of Blue,https://www.youtube.com/watch?v=vDqULFUg6CY
13,The Velvet Underground & Nico,https://www.youtube.com/watch?v=Yjgj2YCRBh4
14,Abbey Road,https://www.youtube.com/watch?v=tIGW_TEwCXw
15,Are You Experienced,https://www.youtube.com/watch?v=cbG7HEEPE1o&list=PL1RRNXldMeRFm7CqtN44oav-TgaWT3yt_
16,Blood on the Tracks,https://www.youtube.com/watch?v=WJ8GUwNaboo&list=PLKZWLu6q09LPLRwlt4d2FpqJwzY2iROxZ
17,Nevermind,https://www.youtube.com/watch?v=DDwcMbu8fBI
18,Born to Run,https://www.youtube.com/watch?v=VKchjzfoIig
19,Astral Weeks,https://www.youtube.com/watch?v=4ech6pZoBJ4&list=PLkaSvsEOUshocBixiLGCi2UtszbRLbmV4
20,Thriller,https://www.youtube.com/watch?v=IFcZmuOEgLg
21,The Great Twenty_Eight,https://www.youtube.com/watch?v=75RiHJGfyUE&list=PLukLWVDka8f7e_6Nsp8zR_27zTME1uFSX
22,The Complete Recordings,https://www.youtube.com/watch?v=if7cEESOp54
23,John Lennon/Plastic Ono Band,https://www.youtube.com/watch?v=xs7GWAD75sc&list=PLI6kLIhBBwmRfmwrwjYtcn6FkQFw1Ml6s
24,Innervisions,https://www.youtube.com/watch?v=q8dK0iEzi1M&list=PL4AAC883A8552D75B
25,"Live at the Apollo, 1962",https://www.youtube.com/watch?v=R61iGCD9hgQ
26,Rumours,https://www.youtube.com/watch?v=uzEt9cATWFw
27,The Joshua Tree,https://www.youtube.com/watch?v=YPmdjA8_YOk
28,Who's Next,https://www.youtube.com/watch?v=v2lSNMiaPeA
29,Led Zeppelin,https://www.youtube.com/watch?v=G1rJohGD9LA
30,Blue,https://www.youtube.com/watch?v=MvR7Dkg4NQU
31,Bringing It All Back Home,https://www.youtube.com/watch?v=g6GKRF6nIM0
32,Let It Bleed,https://www.youtube.com/watch?v=EJRdDhnTRoo&list=PLiN-7mukU_RGbkLwK8g0SIBCAwLlgKwnb
33,Ramones,https://www.youtube.com/watch?v=__7ihOpmOQc
34,Music From Big Pink,https://www.youtube.com/watch?v=uFexnwxHHXY
35,The Rise and Fall of Ziggy Stardust and the Spiders From Mars,https://www.youtube.com/watch?v=lQaNkP2mOxQ
36,Tapestry,https://www.youtube.com/watch?v=SyQ-TgA6bQk
37,Hotel California,https://www.youtube.com/watch?v=YbnFmxYADL0&list=PLgaFNC_I_ZkmEYDRfTJRcqpSltdzqvLVs&index=1
38,The Anthology,https://www.youtube.com/watch?v=LqBGq60ixzc
39,Please Please Me,https://www.youtube.com/watch?v=ZJuWiF9w8ZU
40,Forever Changes,https://www.youtube.com/watch?v=r7ekYEywyRw
41,Never Mind the Bollocks Here's the Sex Pistols,https://www.youtube.com/watch?v=LD2i99QPVI0
42,The Doors,https://www.youtube.com/watch?v=e-N2d5ED2KE
43,The Dark Side of the Moon,https://www.youtube.com/watch?v=k9ynZnEBtvw
44,Horses,https://www.youtube.com/watch?v=-kuyNvpWSsA
45,"The Band (""The Brown Album"")",https://www.youtube.com/watch?v=xUPbIbHUem0&list=PLE31AAD9114F343C4
46,Legend: The Best of Bob Marley and The Wailers,https://www.youtube.com/watch?v=Km1AmXTzWJ4
47,A Love Supreme,https://www.youtube.com/watch?v=ll3CMgiUPuU
48,It Takes a Nation of Millions to Hold Us Back,https://www.youtube.com/watch?v=VA0sfZBkykQ
49,At Fillmore East,https://www.youtube.com/watch?v=9QQdWjvEvdA
50,Here's Little Richard,https://www.youtube.com/watch?v=F13JNjpNW6c&list=PLcbDDOYqBVTGg13XntyeiDtA0yTWEmohC
51,Bridge Over Troubled Water,https://www.youtube.com/watch?v=KYaXk8mAo2U
52,Greatest Hits,https://www.youtube.com/watch?v=DVHSDP-X1H4
